Discrete Queue Name,ProducerName,ConsumerName,Primary App_Full_Name,PrimaryAppDisp,PrimaryAppRole,Primary Application Id,q_type,Primary Neighborhood,Primary Hosting Type,Primary Data classification,Primary Enterprise Critical Payment Application,Primary PCI,Primary Publicly Accessible,Primary TRTC,queue_manager_name,app_id,line_of_business,cluster_name,cluster_namelist,def_persistence,def_put_response,inhibit_get,inhibit_put,remote_q_mgr_name,remote_q_name,usage,xmit_q_name,Neighborhood
9ASM.9BNP.SYNC,Aldebaran Rate Engine,Krypton Payment Gateway,Aldebaran Rate Engine,Mainframe,Producer,9ASM,Remote,Mainframe,Internal,Public,No,No,Yes,01= 30 Minutes to 2 Hours,WS27,9ASM,TECHFIN,TECHSEC,TECHSEC,No,Asynchronous,0,0,WL6E27,9ASM.9BNP.SYNC.WL6E,0,9ASM.WL6E27,Mainframe
9ASM.9BNP.SYNC,Aldebaran Rate Engine,Krypton Payment Gateway,Krypton Payment Gateway,Private IaaS,Consumer,9BNP,Remote,Private IaaS,External,Public,Yes,Yes,No,01= 30 Minutes to 2 Hours,WL6E27,9BNP,TECHSEC,TECHSEC,TECHSEC,No,Asynchronous,Enabled,0,WL6E27,9ASM.9BNP.SYNC.WL6E,0,9ASM.WL6E27,Private IaaS
ABLT.WXRX.RQST,Krypton Payment Gateway,Betelgeuse Event Streamer,Krypton Payment Gateway,Private IaaS,Producer,ABLT,Local,Mainframe,External,Public,No,No,No,04= 12 to 24 Hours,WRX2A,ABLT,TECHOPS,TECHCCIBT,TECHCCIBT,Yes,Asynchronous,Enabled,Enabled,,,Normal,,Mainframe
ABLT.WXRX.RQST,Krypton Payment Gateway,Betelgeuse Event Streamer,Betelgeuse Event Streamer,Mainframe,Consumer,WXRX,Local,Private PaaS,External,Public,No,Yes,No,05= 1 to 3 Days,WRX2A,WXRX,TECHFIN,TECHCCIBT,TECHCCIBT,Yes,Asynchronous,0,Enabled,,,Normal,,Private PaaS
ABFK.PPNP.BATCH,PP Arcne VMU,Pluto Fraud Detection,PP Arcne VMU,Public Cloud,Producer,ABFK,Remote,Private IaaS,External,Restricted,No,No,No,03= 4:01 to 11:59 Hours,WR29,ABFK,TECHSEC,TECHCCIBT,TECHCCIBT,Yes,Synchronous,0,0,WL6EX2B,ABFK.PPNP.BATCH.WL6E,0,ABFK.WL6EX2B,Private IaaS
ABFK.PPNP.BATCH,PP Arcne VMU,Pluto Fraud Detection,Pluto Fraud Detection,"Full App Retire, Mainframe",Consumer,PPNP,Remote,Public Cloud,Internal,Confidential,No,No,No,02= 2 Hours to 4 Hours,WL6EX2B,PPNP,TECHCT,TECHCCIBT,TECHCCIBT,Yes,Synchronous,Enabled,Enabled,WL6EX2B,ABFK.PPNP.BATCH.WL6E,Normal,ABFK.WL6EX2B,Public Cloud
SSNP.WX.EVT,PP Arcne VMU,Deneb Message Router,PP Arcne VMU,Private IaaS,Producer,SSNP,Remote,Mainframe,External,Restricted,Yes,No,No,05= 1 to 3 Days,WL6EX2A,SSNP,TECHOPS,TECHPAY,TECHPAY,No,Synchronous,0,Enabled,WQX2C,SSNP.WX.EVT.WQX2,Normal,SSNP.WQX2C,Mainframe
SSNP.WX.EVT,PP Arcne VMU,Deneb Message Router,Deneb Message Router,Private IaaS,Consumer,WX,Remote,Mainframe,Internal,Internal Use,No,No,Yes,01= 30 Minutes to 2 Hours,WQX2C,WX,TECHCCIBT,TECHPAY,TECHPAY,No,Synchronous,0,Enabled,WQX2C,SSNP.WX.EVT.WQX2,Normal,SSNP.WQX2C,Mainframe
TTRX.YZFK.ERR,Saturn Compliance Monitor,Spica Reconciliation,Saturn Compliance Monitor,Mainframe,Producer,TTRX,Remote,Private PaaS,External,Restricted,No,No,No,03= 4:01 to 11:59 Hours,WL6GX2C,TTRX,TECHCT,TECHCT,TECHCT,Yes,Asynchronous,0,0,WL6EX2A,TTRX.YZFK.ERR.WL6E,0,TTRX.WL6EX2A,Private PaaS
TTRX.YZFK.ERR,Saturn Compliance Monitor,Spica Reconciliation,Spica Reconciliation,"Full App Retire, Mainframe",Consumer,YZFK,Remote,Public Cloud,External,Confidential,No,No,No,02= 2 Hours to 4 Hours,WL6EX2A,YZFK,TECHFIN,TECHCT,TECHCT,Yes,Asynchronous,Enabled,0,WL6EX2A,TTRX.YZFK.ERR.WL6E,0,TTRX.WL6EX2A,Public Cloud
